n_cap,stime,etime,content
431,"00:15:30,166","00:15:30,666",你老公千什么吃的
432,"00:15:30,700","00:15:30,733",你老公干什么吃的
433,"00:15:30,766","00:15:31,700",你老公千什么吃的
434,"00:15:32,766","00:15:34,666",一双正版鞋都买不起
435,"00:15:35,100","00:15:35,799",尽给你买这些
436,"00:15:35,833","00:15:36,866",烂大街的low货
437,"00:15:37,100","00:15:37,166",OMG
438,"00:15:37,200","00:15:37,200",OMGT
439,"00:15:37,233","00:15:37,266",OMG
440,"00:15:37,299","00:15:37,366",OMGT
441,"00:15:37,399","00:15:38,066",OMG
442,"00:15:38,700","00:15:40,100",听见陆知行自己骂自己
443,"00:15:40,799","00:15:41,333",别说
444,"00:15:41,733","00:15:42,666",还挺爽的
445,"00:15:45,766","00:15:47,533",我们的婚姻是AA制
446,"00:15:48,433","00:15:49,100",结婚后
447,"00:15:49,133","00:15:51,100",没有花过他一分钱
448,"00:15:51,799","00:15:52,899",我的工资
449,"00:15:52,933","00:15:55,466",又要生活又要还房贷
450,"00:15:56,200","00:15:57,700",生活很是清贫
451,"00:15:58,033","00:15:58,566",我都说的这么可怜了
452,"00:15:58,600","00:15:58,799",我都说的这么可冷了
453,"00:15:58,833","00:15:59,533",我都说的这么可怜了
454,"00:16:00,166","00:16:02,399",他应该会给我加点工资吧
455,"00:16:03,566","00:16:04,700",你也别太难过
456,"00:16:05,200","00:16:06,399",像这种男人他就
457,"00:16:09,500","00:16:10,700",太抠门了
458,"00:16:11,100","00:16:12,299",没责任心
459,"00:16:16,533","00:16:17,899",这个月加班费双倍
460,"00:16:18,133","00:16:18,533",还有
461,"00:16:18,566","00:16:20,133",这张黑卡你拿着
462,"00:16:20,200","00:16:21,866",去买一双像样的鞋
463,"00:16:21,966","00:16:23,000",我的秘书值得更好的
464,"00:16:23,033","00:16:23,066",我的秘书值得便好的
465,"00:16:23,100","00:16:23,366",我的秘书值得更好的
466,"00:16:24,899","00:16:25,799",谢谢老板
467,"00:16:26,500","00:16:28,366",不知道陆知行有一天知道
468,"00:16:28,700","00:16:29,200",他口中的抠唆男
469,"00:16:29,233","00:16:29,266",也口中的抠唆男
470,"00:16:29,299","00:16:29,966",他口中的抠唆男
471,"00:16:30,200","00:16:30,966",是他自己
472,"00:16:31,433","00:16:32,200",会是什么表情
473,"00:16:32,733","00:16:33,733",好期待呀
474,"00:16:40,366","00:16:41,133",呦
475,"00:16:42,533","00:16:43,333",姜秘书
476,"00:16:44,333","00:16:45,100",哎
477,"00:16:45,500","00:16:46,500",怎么感觉
478,"00:16:46,533","00:16:48,100",调在总裁身边
479,"00:16:48,500","00:16:50,266",反而变得无精打采
480,"00:16:51,166","00:16:53,500",哎听说昨天晚上
481,"00:16:53,533","00:16:54,966",又加班一晚上
482,"00:16:56,166","00:16:56,933",嗯
483,"00:16:58,200","00:16:58,200",D
484,"00:16:58,766","00:16:59,100",你干什么
485,"00:16:59,133","00:16:59,166",你千什么
486,"00:16:59,200","00:16:59,366",你干什么
487,"00:16:59,399","00:16:59,399",你千干什么
488,"00:16:59,433","00:16:59,466",你干什么
489,"00:16:59,500","00:16:59,600",你千什么
490,"00:16:59,633","00:16:59,666",你干什么
491,"00:16:59,700","00:16:59,700",你千什么
492,"00:17:03,166","00:17:04,333",听说昨天晚上
493,"00:17:04,366","00:17:05,500",又加班了一夜
494,"00:17:06,133","00:17:06,900",嗯
495,"00:17:08,733","00:17:08,766",你干什么
496,"00:17:08,799","00:17:08,799",你千什么
497,"00:17:08,833","00:17:09,000",你干什么
498,"00:17:09,033","00:17:09,066",你千什么
499,"00:17:09,099","00:17:09,099",你干什么
500,"00:17:09,133","00:17:09,133",你于什么
501,"00:17:09,166","00:17:09,366",你干什么
502,"00:17:09,400","00:17:09,666",你千什么
503,"00:17:09,733","00:17:10,666",我发现你现在
504,"00:17:10,700","00:17:11,533",越来越不把我
505,"00:17:11,566","00:17:12,566",放在眼里了
506,"00:17:12,933","00:17:13,599",我原来
507,"00:17:14,200","00:17:15,766",也没有把你放眼里过
508,"00:17:17,633","00:17:18,466",别以为陆总
509,"00:17:18,500","00:17:20,166",会喜欢你这个丑八怪
510,"00:17:22,299","00:17:24,000",你不掌镜子照照你自己
511,"00:17:24,166","00:17:25,000",什么东西
512,"00:17:25,566","00:17:25,799",懒蛤蟆想吃天肉
513,"00:17:25,833","00:17:25,866",懒蛤想吃天鹅肉
514,"00:17:25,900","00:17:25,966",嫩蛤蟆想吃天鹅肉
515,"00:17:26,000","00:17:26,000",懒蛤想吃天鹅肉
