n_cap,stime,etime,content
17,"00:00:15,699","00:00:16,466",别以为陆总
17,"00:00:15,699","00:00:16,500",别以为陆总
17,"00:00:15,699","00:00:16,533",别以为陆总
18,"00:00:16,566","00:00:16,533",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,600",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,633",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,666",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,699",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,733",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,766",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,800",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,833",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,866",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:16,899",会喜欢你这个田丑八怪
18,"00:00:16,566","00:00:16,933",会喜欢你这个田丑八怪
18,"00:00:16,566","00:00:16,966",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,000",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,033",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,066",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,100",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,133",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,166",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,199",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,233",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,266",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,300",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,333",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,366",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,399",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,433",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,466",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,500",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,533",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,566",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,600",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,633",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,666",会喜欢你这个八怪
18,"00:00:16,566","00:00:17,699",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,733",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,766",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,800",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,833",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,866",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,899",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,933",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:17,966",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:18,000",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:18,033",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:18,066",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:18,100",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:18,133",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:18,166",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:18,199",会喜欢你这个丑八怪
18,"00:00:16,566","00:00:18,233",会喜欢你这个丑八怪
19,"00:00:20,366","00:00:18,233",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,399",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,433",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,466",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,500",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,533",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,566",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,600",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,633",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,666",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,699",你不拿镜子照照你自己
19,"00:00:20,366","00:00:20,733",你不拿镜子照照你自己
19,"00:00:20,366","00:00:20,766",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,800",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,833",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,866",你不掌镜子照照你自己
19,"00:00:20,366","00:00:20,899",你不拿镜子照照你自己
19,"00:00:20,366","00:00:20,933",你不拿镜子照照你自己
19,"00:00:20,366","00:00:20,966",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,000",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,033",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,066",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,100",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,133",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,166",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,199",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,233",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,266",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,300",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,333",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,366",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,399",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,433",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,466",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,500",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,533",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,566",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,600",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,633",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,666",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,699",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,733",你不拿镜子照照你自己
19,"00:00:20,366","00:00:21,766",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,800",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,833",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,866",尔不掌镜子照照你自己
19,"00:00:20,366","00:00:21,899",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,933",你不掌镜子照照你自己
19,"00:00:20,366","00:00:21,966",你不拿镜子照照你自己
19,"00:00:20,366","00:00:22,000",你不拿镜子照照你自己
19,"00:00:20,366","00:00:22,033",你不拿镜子照照你自己
19,"00:00:20,366","00:00:22,066",你不拿镜子照照你自己
20,"00:00:22,233","00:00:22,066",什么东西
20,"00:00:22,233","00:00:22,266",什么东西
20,"00:00:22,233","00:00:22,300",什么东西
20,"00:00:22,233","00:00:22,333",什么东西
